vote_type,votes,perc_emit,ubigeo,ambito,departamento,provincia,distrito
VOTOS NULOS,594.0,6.97,010601,PERÚ,AMAZONAS,CONDORCANQUI,NIEVA
TOTAL DE VOTOS EMITIDOS,8517.0,100.0,010601,PERÚ,AMAZONAS,CONDORCANQUI,NIEVA
TOTAL DE VOTOS VÁLIDOS,2590.0,59.7,010602,PERÚ,AMAZONAS,CONDORCANQUI,RIO SANTIAGO
VOTOS EN BLANCO,1458.0,33.61,010602,PERÚ,AMAZONAS,CONDORCANQUI,RIO SANTIAGO
VOTOS NULOS,290.0,6.69,010602,PERÚ,AMAZONAS,CONDORCANQUI,RIO SANTIAGO
TOTAL DE VOTOS EMITIDOS,4338.0,100.0,010602,PERÚ,AMAZONAS,CONDORCANQUI,RIO SANTIAGO
TOTAL DE VOTOS VÁLIDOS,16569.0,71.4,010400,PERÚ,AMAZONAS,LUYA,TODOS
VOTOS EN BLANCO,5295.0,22.82,010400,PERÚ,AMAZONAS,LUYA,TODOS
VOTOS NULOS,1342.0,5.78,010400,PERÚ,AMAZONAS,LUYA,TODOS
TOTAL DE VOTOS EMITIDOS,23206.0,100.0,010400,PERÚ,AMAZONAS,LUYA,TODOS
TOTAL DE VOTOS VÁLIDOS,2171.0,71.23,010402,PERÚ,AMAZONAS,LUYA,CAMPORREDONDO
VOTOS EN BLANCO,686.0,22.51,010402,PERÚ,AMAZONAS,LUYA,CAMPORREDONDO
VOTOS NULOS,191.0,6.27,010402,PERÚ,AMAZONAS,LUYA,CAMPORREDONDO
TOTAL DE VOTOS EMITIDOS,3048.0,100.0,010402,PERÚ,AMAZONAS,LUYA,CAMPORREDONDO
TOTAL DE VOTOS VÁLIDOS,560.0,69.91,010403,PERÚ,AMAZONAS,LUYA,COCABAMBA
VOTOS EN BLANCO,212.0,26.47,010403,PERÚ,AMAZONAS,LUYA,COCABAMBA
VOTOS NULOS,29.0,3.62,010403,PERÚ,AMAZONAS,LUYA,COCABAMBA
TOTAL DE VOTOS EMITIDOS,801.0,100.0,010403,PERÚ,AMAZONAS,LUYA,COCABAMBA
TOTAL DE VOTOS VÁLIDOS,955.0,73.92,010404,PERÚ,AMAZONAS,LUYA,COLCAMAR
VOTOS EN BLANCO,262.0,20.28,010404,PERÚ,AMAZONAS,LUYA,COLCAMAR
VOTOS NULOS,75.0,5.8,010404,PERÚ,AMAZONAS,LUYA,COLCAMAR
TOTAL DE VOTOS EMITIDOS,1292.0,100.0,010404,PERÚ,AMAZONAS,LUYA,COLCAMAR
TOTAL DE VOTOS VÁLIDOS,898.0,78.22,010405,PERÚ,AMAZONAS,LUYA,CONILA
VOTOS EN BLANCO,197.0,17.16,010405,PERÚ,AMAZONAS,LUYA,CONILA
VOTOS NULOS,53.0,4.62,010405,PERÚ,AMAZONAS,LUYA,CONILA
TOTAL DE VOTOS EMITIDOS,1148.0,100.0,010405,PERÚ,AMAZONAS,LUYA,CONILA
TOTAL DE VOTOS VÁLIDOS,322.0,81.93,010406,PERÚ,AMAZONAS,LUYA,INGUILPATA
VOTOS EN BLANCO,57.0,14.5,010406,PERÚ,AMAZONAS,LUYA,INGUILPATA
VOTOS NULOS,14.0,3.56,010406,PERÚ,AMAZONAS,LUYA,INGUILPATA
TOTAL DE VOTOS EMITIDOS,393.0,100.0,010406,PERÚ,AMAZONAS,LUYA,INGUILPATA
TOTAL DE VOTOS VÁLIDOS,872.0,73.09,010401,PERÚ,AMAZONAS,LUYA,LAMUD
VOTOS EN BLANCO,217.0,18.19,010401,PERÚ,AMAZONAS,LUYA,LAMUD
VOTOS NULOS,104.0,8.72,010401,PERÚ,AMAZONAS,LUYA,LAMUD
TOTAL DE VOTOS EMITIDOS,1193.0,100.0,010401,PERÚ,AMAZONAS,LUYA,LAMUD
TOTAL DE VOTOS VÁLIDOS,441.0,78.47,010407,PERÚ,AMAZONAS,LUYA,LONGUITA
VOTOS EN BLANCO,101.0,17.97,010407,PERÚ,AMAZONAS,LUYA,LONGUITA
VOTOS NULOS,20.0,3.56,010407,PERÚ,AMAZONAS,LUYA,LONGUITA
TOTAL DE VOTOS EMITIDOS,562.0,100.0,010407,PERÚ,AMAZONAS,LUYA,LONGUITA
TOTAL DE VOTOS VÁLIDOS,460.0,77.31,010408,PERÚ,AMAZONAS,LUYA,LONYA CHICO
VOTOS EN BLANCO,112.0,18.82,010408,PERÚ,AMAZONAS,LUYA,LONYA CHICO
VOTOS NULOS,23.0,3.87,010408,PERÚ,AMAZONAS,LUYA,LONYA CHICO
TOTAL DE VOTOS EMITIDOS,595.0,100.0,010408,PERÚ,AMAZONAS,LUYA,LONYA CHICO
TOTAL DE VOTOS VÁLIDOS,1692.0,78.08,010409,PERÚ,AMAZONAS,LUYA,LUYA
VOTOS EN BLANCO,358.0,16.52,010409,PERÚ,AMAZONAS,LUYA,LUYA
VOTOS NULOS,117.0,5.4,010409,PERÚ,AMAZONAS,LUYA,LUYA
